GP Name,Strategy,Total Count
Abu Dhabi Grand Prix,MH,20
Abu Dhabi Grand Prix,MHH,13
Abu Dhabi Grand Prix,MHM,6
Australian Grand Prix,MH,13
Australian Grand Prix,MHH,10
Australian Grand Prix,MHS,8
Austrian Grand Prix,MH,6
Austrian Grand Prix,MHH,17
Austrian Grand Prix,MHM,9
Azerbaijan Grand Prix,MH,37
Bahrain Grand Prix,SHH,23
Bahrain Grand Prix,SMH,5
Bahrain Grand Prix,SMS,6
Bahrain Grand Prix,SSMS,5
Belgian Grand Prix,MH,5
Belgian Grand Prix,MHH,6
Belgian Grand Prix,MHM,8
Belgian Grand Prix,MM,16
Belgian Grand Prix,SMS,5
British Grand Prix,MS,8
Canadian Grand Prix,HM,6
Canadian Grand Prix,MH,5
Canadian Grand Prix,MHH,18
Chinese Grand Prix,MH,17
Dutch Grand Prix,MH,13
Dutch Grand Prix,SMHS,7
Emilia Romagna Grand Prix,MH,13
Emilia Romagna Grand Prix,MHH,10
French Grand Prix,MH,12
Hungarian Grand Prix,MH,14
Hungarian Grand Prix,MHH,10
Hungarian Grand Prix,MHM,10
Italian Grand Prix,MH,19
Italian Grand Prix,MHH,6
Italian Grand Prix,MHM,5
Japanese Grand Prix,MH,13
Japanese Grand Prix,MHH,6
Japanese Grand Prix,MMH,5
Las Vegas Grand Prix,MH,14
Las Vegas Grand Prix,MHH,13
Mexico City Grand Prix,MH,24
Mexico City Grand Prix,MHM,5
Mexico City Grand Prix,MS,5
Mexico City Grand Prix,SM,7
Miami Grand Prix,HM,7
Miami Grand Prix,MH,28
Monaco Grand Prix,HM,5
Monaco Grand Prix,MH,7
Qatar Grand Prix,MH,10
Qatar Grand Prix,MHM,5
Sao Paulo Grand Prix,SMS,17
Saudi Arabian Grand Prix,MH,53
Singapore Grand Prix,MH,19
Spanish Grand Prix,SMH,11
Spanish Grand Prix,SMS,25
United States Grand Prix,MH,11
United States Grand Prix,MHM,5
United States Grand Prix,MMH,5
